Name,Nominations,Pronouns,Freq
Seanan McGuire,7,She/Her,1
Mira Grant,6,She/Her,1
Aliette de Bodard,5,She/Her,1
Mary Robinette Kowal,4,She/Her,1
Catherynne M. Valente,4,She/Her,1
N.K. Jemisin,4,She/Her,1
Ann Leckie,4,She/Her,1
Lois McMaster Bujold,4,She/Her,1
Charles Stross,4,He/Him,1
Ted Chiang,4,He/Him,1
Charlie Jane Anders,3,She/Her,1
Becky Chambers,3,She/Her,1
Nancy Kress,3,She/Her,1
Nnedi Okorafor,3,She/Her,1
Sarah Pinsker,3,She/Her,1
Kij Johnson,3,She/Her,1
Rachel Swirsky,3,She/Her,1
Yoon Ha Lee,3,He/Him,1
John Scalzi,3,He/Him,1
John C. Wright,3,He/Him,1
Naomi Novik,2,She/Her,1
Martha Wells,2,She/Her,1
Carolyn Ives Gilman,2,She/Her,1
Brooke Bolander,2,She/Her,1
Kim Stanley Robinson,2,He/Him,1
Cixin Liu,2,He/Him,1
Jim Butcher,2,He/Him,1
China Miéville,2,He/Him,1
Paolo Bacigalupi,2,He/Him,1
Ian McDonald,2,He/Him,1
P. Djèlí Clark,2,He/Him,1
Alastair Reynolds,2,He/Him,1
Brandon Sanderson,2,He/Him,1
Brad Torgersen,2,He/Him,1
Mike Resnick,2,He/Him,1
Thomas Olde Heuvelt,2,He/Him,1
Paul Cornell,2,He/Him,1
Sarah Gailey,2,They/Them,1
Tamsyn Muir,1,She/Her,1
Kameron Hurley,1,She/Her,1
Arkady Martine,1,She/Her,1
Alix E. Harrow,1,She/Her,1
Rebecca Roanhorse,1,She/Her,1
Mur Lafferty,1,She/Her,1
Yoon Ha Lee,1,She/Her,1
N. K. Jemisin,1,She/Her,1
Ada Palmer,1,She/Her,1
Katherine Addison,1,She/Her,1
Jo Walton,1,She/Her,1
Connie Willis,1,She/Her,1
Cherie Priest,1,She/Her,1
Kelly Robson,1,She/Her,1
Kai Ashante Wilson,1,She/Her,1
China Miéville,1,She/Her,1
Elizabeth Hand,1,She/Her,1
Kage Baker,1,She/Her,1
Elizabeth Bear,1,She/Her,1
Caroline M. Yoachim,1,She/Her,1
For He Can Creep,1,She/Her,1
Ted Chiang,1,She/Her,1
Zen Cho,1,She/Her,1
Tina Connolly,1,She/Her,1
Naomi Kritzer,1,She/Her,1
Simone Heller,1,She/Her,1
Suzanne Palmer,1,She/Her,1
Vina Jie-Min Prasad,1,She/Her,1
Ursula Vernon,1,She/Her,1
Alyssa Wong,1,She/Her,1
Fran Wilde,1,She/Her,1
Nina Allan,1,She/Her,1
Hao Jingfang,1,She/Her,1
Pat Cadigan,1,She/Her,1
Nicola Griffith,1,She/Her,1
Eugie Foster,1,She/Her,1
Neal Stephenson,1,He/Him,1
Kevin J. Anderson,1,He/Him,1
Larry Correia,1,He/Him,1
Saladin Ahmed,1,He/Him,1
James S. A. Corey,1,He/Him,1
George R. R. Martin,1,He/Him,1
The Dervish House,1,He/Him,1
Robert J. Sawyer,1,He/Him,1
Robert Charles Wilson,1,He/Him,1
Catherynne M. Valente,1,He/Him,1
Robert Reed,1,He/Him,1
Charles Coleman Finlay,1,He/Him,1
Victor LaValle,1,He/Him,1
Daniel Polansky,1,He/Him,1
Arlan Andrews,1,He/Him,1
Tom Kratman,1,He/Him,1
Dan Wells,1,He/Him,1
Jay Lake,1,He/Him,1
Ken Liu,1,He/Him,1
Geoffrey A. Landis,1,He/Him,1
James Morrow,1,He/Him,1
John Kessel,1,He/Him,1
James Alan Gardner,1,He/Him,1
Daryl Gregory,1,He/Him,1
K.M. Szpara,1,He/Him,1
Stix Hiscock,1,He/Him,1
Stephen King,1,He/Him,1
David VanDyke,1,He/Him,1
Kai Wai Cheah,1,He/Him,1
Rajnar Vajra,1,He/Him,1
Gray Rinehart,1,He/Him,1
Michael F. Flynn,1,He/Him,1
Edward M. Lerner,1,He/Him,1
Vox Day,1,He/Him,1
Brad R. Torgersen,1,He/Him,1
Geoff Ryman,1,He/Him,1
Allen M. Steele,1,He/Him,1
Sean McMullen,1,He/Him,1
James Patrick Kelly,1,He/Him,1
Eric James Stone,1,He/Him,1
Peter Watts,1,He/Him,1
Michael Swanwick,1,He/Him,1
JY Yang,1,They/Them,1
